Date/Time,Status
Dec 03 2020 - 5:43 PM EST,Playstation Direct - Console Out of Stock
Dec 03 2020 - 5:41 PM EST,Playstation Direct - Console In Stock for $499.99
Dec 03 2020 - 5:39 PM EST,Playstation Direct - Console Out of Stock
Dec 03 2020 - 5:34 PM EST,Playstation Direct - Console In Stock for $499.99
Dec 03 2020 - 7:27 AM EST,Target - Console Digital Edition Out of Stock
Dec 03 2020 - 7:24 AM EST,Target - Console Digital Edition In Stock for $?
Nov 30 2020 - 6:41 PM EST,Playstation Direct - Console Out of Stock
Nov 30 2020 - 6:30 PM EST,Playstation Direct - Console In Stock for $499.99
Nov 30 2020 - 6:28 PM EST,Playstation Direct - Console Out of Stock
Nov 30 2020 - 6:17 PM EST,Playstation Direct - Console In Stock for $499.99
Nov 27 2020 - 5:18 PM EST,GameStop - Bundle: Digital Edition Black Friday System Bundle Out of Stock
Nov 27 2020 - 5:16 PM EST,GameStop - Bundle: Digital Edition Black Friday System Bundle In Stock for $644.99
Nov 27 2020 - 5:12 PM EST,GameStop - Bundle: Digital Edition Black Friday System Bundle Out of Stock
Nov 27 2020 - 5:10 PM EST,GameStop - Bundle: Digital Edition Black Friday System Bundle In Stock for $644.99
Nov 27 2020 - 5:08 PM EST,GameStop - Bundle: Black Friday System Bundle Out of Stock
Nov 27 2020 - 5:07 PM EST,GameStop - Bundle: Digital Edition Black Friday System Bundle Out of Stock
Nov 27 2020 - 4:55 PM EST,GameStop - Bundle: Black Friday System Bundle In Stock for $804.99
Nov 27 2020 - 4:55 PM EST,GameStop - Bundle: Digital Edition Black Friday System Bundle In Stock for $644.99
Nov 27 2020 - 4:37 PM EST,GameStop - Bundle: Digital Edition Black Friday System Bundle Out of Stock
Nov 27 2020 - 4:37 PM EST,GameStop - Bundle: Black Friday System Bundle Out of Stock
Nov 27 2020 - 4:35 PM EST,GameStop - Bundle: Black Friday System Bundle In Stock for $804.99
Nov 27 2020 - 4:33 PM EST,GameStop - Bundle: Black Friday System Bundle Out of Stock
Nov 27 2020 - 4:31 PM EST,GameStop - Bundle: Black Friday System Bundle In Stock for $804.99
Nov 27 2020 - 4:31 PM EST,GameStop - Bundle: Digital Edition Black Friday System Bundle In Stock for $644.99
Nov 27 2020 - 4:29 PM EST,GameStop - Bundle: Black Friday System Bundle Out of Stock
Nov 27 2020 - 4:29 PM EST,GameStop - Bundle: Digital Edition Black Friday System Bundle Out of Stock
Nov 27 2020 - 4:01 PM EST,GameStop - Bundle: Digital Edition Black Friday System Bundle In Stock for $644.99
Nov 27 2020 - 4:01 PM EST,GameStop - Bundle: Black Friday System Bundle In Stock for $804.99
Nov 25 2020 - 8:25 PM EST,Playstation Direct - Console Out of Stock
Nov 25 2020 - 8:06 PM EST,Playstation Direct - Console Digital Edition Out of Stock
Nov 25 2020 - 7:54 PM EST,Playstation Direct - Console Digital Edition In Stock for $399.99
Nov 25 2020 - 7:50 PM EST,Playstation Direct - Console In Stock for $499.99
Nov 24 2020 - 12:08 AM EST,GameStop - Bundle: Ultimate Gamer System Out of Stock
Nov 23 2020 - 11:51 PM EST,GameStop - Bundle: Ultimate Gamer System In Stock for $854.99
Nov 23 2020 - 11:19 PM EST,GameStop - Bundle: Demon's Souls and Spider-Man System Out of Stock
Nov 23 2020 - 11:04 PM EST,GameStop - Bundle: Demon's Souls and Spider-Man System In Stock for $759.99
Nov 23 2020 - 11:04 PM EST,GameStop - Bundle: Ultimate Gamer System Out of Stock
Nov 23 2020 - 10:57 PM EST,GameStop - Bundle: Demon's Souls and Spider-Man System Out of Stock
Nov 23 2020 - 10:54 PM EST,GameStop - Bundle: Games and Accessories System Out of Stock
Nov 23 2020 - 10:50 PM EST,GameStop - Bundle: Ultimate Gamer System In Stock for $854.99
Nov 23 2020 - 10:34 PM EST,GameStop - Bundle: Demon's Souls and Spider-Man System In Stock for $759.99
Nov 23 2020 - 10:27 PM EST,GameStop - Bundle: Demon's Souls and Spider-Man System Out of Stock
Nov 23 2020 - 10:24 PM EST,GameStop - Bundle: Demon's Souls and Spider-Man System In Stock for $759.99
Nov 23 2020 - 10:23 PM EST,GameStop - Bundle: Games and Accessories System In Stock for $804.99
Nov 23 2020 - 10:20 PM EST,GameStop - Bundle: Games and Accessories System Out of Stock
Nov 23 2020 - 10:20 PM EST,GameStop - Bundle: Demon's Souls and Spider-Man System Out of Stock
Nov 23 2020 - 10:17 PM EST,GameStop - Bundle: Games and Accessories System In Stock for $804.99
Nov 23 2020 - 10:16 PM EST,GameStop - Bundle: Ultimate Gamer System Out of Stock
Nov 23 2020 - 10:11 PM EST,GameStop - Bundle: Ultimate Gamer System In Stock for $854.99
Nov 23 2020 - 9:47 PM EST,GameStop - Bundle: Demon's Souls and Spider-Man System In Stock for $759.99
Nov 23 2020 - 9:41 PM EST,GameStop - Bundle: Ultimate Gamer System Out of Stock
Nov 23 2020 - 9:37 PM EST,GameStop - Bundle: Ultimate Gamer System In Stock for $854.99
Nov 23 2020 - 9:03 PM EST,GameStop - Bundle: Demon's Souls and Spider-Man System Out of Stock
Nov 23 2020 - 9:03 PM EST,GameStop - Bundle: Ultimate Gamer System Out of Stock
Nov 23 2020 - 9:03 PM EST,GameStop - Bundle: Games and Accessories System Out of Stock
Nov 22 2020 - 6:36 AM EST,Best Buy - Console Digital Edition Out of Stock
Nov 22 2020 - 6:24 AM EST,Best Buy - Console Digital Edition In Stock for $399.99
Nov 20 2020 - 11:56 AM EST,Target - Console Digital Edition Out of Stock
Nov 20 2020 - 11:50 AM EST,Target - Console Digital Edition In Stock for $?
Nov 19 2020 - 4:51 PM EST,Playstation Direct - Console Out of Stock
Nov 19 2020 - 4:49 PM EST,Playstation Direct - Console In Stock for $499.99
Nov 19 2020 - 4:46 PM EST,Playstation Direct - Console Digital Edition Out of Stock
Nov 19 2020 - 4:33 PM EST,Playstation Direct - Console Digital Edition In Stock for $399.99
Nov 19 2020 - 3:12 PM EST,Walmart - Console Digital Edition Out of Stock
Nov 19 2020 - 3:11 PM EST,Walmart - Console Out of Stock
Nov 19 2020 - 3:04 PM EST,Walmart - Console Digital Edition In Stock for $399.00
Nov 19 2020 - 3:03 PM EST,Walmart - Console In Stock for $499.00
Nov 19 2020 - 2:31 PM EST,GameStop - Bundle: Console Exclusive Titles System Out of Stock
Nov 19 2020 - 2:22 PM EST,GameStop - Bundle: Console Spider-Man Demon's Souls and Accessories System Bundle Out of Stock
Nov 19 2020 - 2:21 PM EST,GameStop - Bundle: Digital Accessories & System Bundle Out of Stock
Nov 19 2020 - 2:03 PM EST,GameStop - Bundle: Digital Accessories & System Bundle In Stock for $689.99
Nov 19 2020 - 2:03 PM EST,GameStop - Bundle: Console Spider-Man Demon's Souls and Accessories System Bundle In Stock for $829.99
Nov 19 2020 - 2:02 PM EST,GameStop - Bundle: Console Exclusive Titles System In Stock for $849.99
Nov 18 2020 - 6:46 PM EST,Playstation Direct - Console Out of Stock
Nov 18 2020 - 6:35 PM EST,Playstation Direct - Console In Stock for $499.99
Nov 18 2020 - 2:19 AM EST,Target - Console Out of Stock
Nov 18 2020 - 2:10 AM EST,Target - Console In Stock for $?
Nov 17 2020 - 2:50 PM EST,Playstation Direct - Console Out of Stock
Nov 17 2020 - 2:34 PM EST,Playstation Direct - Console In Stock for $499.99
Nov 17 2020 - 1:38 PM EST,Dell Home - Bundle: Console w/Extra Controller Out of Stock
Nov 17 2020 - 1:28 PM EST,Curacao.com - Bundle: Console + Tons of Stuff Out of Stock
Nov 17 2020 - 9:00 AM EST,Sam's Club - Bundle: Console w/Extra Controller/Spider-Man/1mth PSNow Out of Stock
Nov 16 2020 - 3:03 PM EST,B&H Photo - Console Out of Stock
Nov 16 2020 - 2:49 PM EST,B&H Photo - Console Preorder for $499.99
Nov 16 2020 - 10:32 AM EST,Playstation Direct - Console Out of Stock
Nov 16 2020 - 10:31 AM EST,Playstation Direct - Console Digital Edition Out of Stock
Nov 16 2020 - 10:15 AM EST,Playstation Direct - Console Digital Edition In Stock for $399.99
Nov 16 2020 - 10:14 AM EST,Playstation Direct - Console In Stock for $499.99
Nov 13 2020 - 5:57 PM EST,Playstation Direct - Console Out of Stock
Nov 13 2020 - 5:53 PM EST,Playstation Direct - Console In Stock for $499.99
Nov 13 2020 - 5:21 PM EST,Playstation Direct - Console Out of Stock
Nov 13 2020 - 5:19 PM EST,Playstation Direct - Console In Stock for $499.99
Nov 13 2020 - 5:15 PM EST,Playstation Direct - Console Out of Stock
Nov 13 2020 - 5:13 PM EST,Playstation Direct - Console In Stock for $499.99
