Date/Time_Start,Status,Price,Date,Site_Start,Type_Start,Edition_Start,Site_End,Type_End,Edition_End,Date/Time_End
2020-11-12 12:00:00,Walmart - Console Digital Edition In Stock for $399.00,399.0,2020-11-12,Walmart,Console Digital Edition In Stock for $399.00,Console Digital Edition,Walmart,Console Digital Edition Out of Stock,Console Digital Edition,2020-11-12 12:04:00
2020-11-12 04:03:00,Target - Console In Stock for $?,,2020-11-12,Target,Console In Stock for $?,Console,Target,Console Out of Stock,Console,2020-11-12 04:09:00
2020-11-12 03:21:00,Target - Console Out of Stock,,2020-11-12,Target,Console Out of Stock,Console,Target,Console In Stock for $?,Console,2020-11-12 04:03:00
2020-11-12 03:15:00,Target - Console In Stock for $?,,2020-11-12,Target,Console In Stock for $?,Console,Target,Console Out of Stock,Console,2020-11-12 03:21:00
2020-11-12 01:44:00,Target - Console In Stock for $?,,2020-11-12,Target,Console In Stock for $?,Console,Target,Console Out of Stock,Console,2020-11-12 01:50:00
2020-11-12 00:03:00,Sam's Club - Console In Stock for $499.00,499.0,2020-11-12,Sam's Club,Console In Stock for $499.00,Console,Sam's Club,Console Out of Stock,Console,2020-11-12 00:24:00
2020-11-11 22:21:00,Sam's Club - Console Out of Stock,,2020-11-11,Sam's Club,Console Out of Stock,Console,Sam's Club,Console In Stock for $499.00,Console,2020-11-12 00:03:00
2020-11-11 22:15:00,Sam's Club - Console In Stock for $499.00,499.0,2020-11-11,Sam's Club,Console In Stock for $499.00,Console,Sam's Club,Console Out of Stock,Console,2020-11-11 22:21:00
2020-11-11 22:03:00,Sam's Club - Console In Stock for $499.00,499.0,2020-11-11,Sam's Club,Console In Stock for $499.00,Console,Sam's Club,Console In Stock for $499.00,Console,2020-11-11 22:15:00
2020-10-06 15:59:00,Target - Console Preorder for $?,,2020-10-06,Target,Console Preorder for $?,Console Preorder for $?,Target,Console Preorder for $?,Console Preorder for $?,2020-10-07 08:17:00
